date,feature_index,NO2
2022-09-18T00:00:00.000Z,0,2.925475685818431E-5
2022-09-19T00:00:00.000Z,0,3.294651954396007E-5
2022-09-17T00:00:00.000Z,0,2.4224757908086758E-5
2022-09-16T00:00:00.000Z,0,2.4927517188189086E-5
2022-12-05T00:00:00.000Z,0,
2022-12-07T00:00:00.000Z,0,
2022-12-08T00:00:00.000Z,0,
2022-12-03T00:00:00.000Z,0,
2022-12-06T00:00:00.000Z,0,5.0447012351166144E-5
2022-12-04T00:00:00.000Z,0,
2022-12-09T00:00:00.000Z,0,2.347538293179241E-5
2022-12-02T00:00:00.000Z,0,
2023-01-10T00:00:00.000Z,0,1.79012025303867E-5
2023-01-08T00:00:00.000Z,0,-6.261318503675284E-7
2023-01-09T00:00:00.000Z,0,3.966549381099564E-6
2023-01-03T00:00:00.000Z,0,
2023-01-05T00:00:00.000Z,0,2.411302903055912E-5
2023-01-04T00:00:00.000Z,0,4.083299791091122E-5
2023-01-07T00:00:00.000Z,0,7.047585730409385E-6
2023-01-06T00:00:00.000Z,0,1.436393934757992E-5
2023-07-10T00:00:00.000Z,0,3.4968283822915204E-5
2023-07-06T00:00:00.000Z,0,2.2926064048078842E-5
2023-07-07T00:00:00.000Z,0,
2023-07-09T00:00:00.000Z,0,4.9297723307972774E-5
2023-07-12T00:00:00.000Z,0,5.182740339175022E-5
2023-07-08T00:00:00.000Z,0,
2023-07-13T00:00:00.000Z,0,
2023-07-11T00:00:00.000Z,0,3.2017550135302976E-5
2023-08-01T00:00:00.000Z,0,3.125092856256136E-5
2023-08-04T00:00:00.000Z,0,2.7262864023214206E-5
2023-08-02T00:00:00.000Z,0,2.6191562331708457E-5
2023-07-31T00:00:00.000Z,0,4.782158794114366E-5
2023-08-05T00:00:00.000Z,0,4.5174750994192436E-5
2023-08-03T00:00:00.000Z,0,5.271905683912337E-5
2023-07-30T00:00:00.000Z,0,3.0312617430657458E-5
2023-08-06T00:00:00.000Z,0,
2023-03-15T00:00:00.000Z,0,
2023-03-09T00:00:00.000Z,0,
2023-03-13T00:00:00.000Z,0,1.981907644221792E-5
2023-03-08T00:00:00.000Z,0,
2023-03-10T00:00:00.000Z,0,1.5993810772367095E-5
2023-03-12T00:00:00.000Z,0,1.8369061062154895E-5
2023-03-11T00:00:00.000Z,0,2.508672763864202E-5
2023-03-14T00:00:00.000Z,0,
2021-05-18T00:00:00.000Z,0,2.7255784880253485E-5
2021-05-20T00:00:00.000Z,0,2.5051430839084787E-5
2021-05-16T00:00:00.000Z,0,
2021-05-17T00:00:00.000Z,0,2.668582874321146E-5
2021-05-14T00:00:00.000Z,0,3.185741146201811E-5
2021-05-19T00:00:00.000Z,0,
2021-05-15T00:00:00.000Z,0,1.2948828953085467E-5
2021-05-13T00:00:00.000Z,0,
2021-09-12T00:00:00.000Z,0,
2021-09-13T00:00:00.000Z,0,2.484106971678557E-5
2021-09-14T00:00:00.000Z,0,
2021-09-11T00:00:00.000Z,0,
2021-09-16T00:00:00.000Z,0,1.6603611432704685E-5
2021-09-17T00:00:00.000Z,0,
2021-09-15T00:00:00.000Z,0,2.7574447813094594E-5
2021-09-10T00:00:00.000Z,0,2.1584139479576454E-5
2021-03-04T00:00:00.000Z,0,1.9109762433799915E-5
2021-03-05T00:00:00.000Z,0,1.2882389000878902E-5
2021-03-03T00:00:00.000Z,0,
2021-03-08T00:00:00.000Z,0,
2021-03-09T00:00:00.000Z,0,
2021-03-02T00:00:00.000Z,0,
2021-03-06T00:00:00.000Z,0,
2021-03-07T00:00:00.000Z,0,
2022-10-28T00:00:00.000Z,0,2.3249103833222762E-5
2022-10-29T00:00:00.000Z,0,2.8837763238698244E-5
2022-10-30T00:00:00.000Z,0,
2022-10-25T00:00:00.000Z,0,3.177457195609653E-5
2022-10-27T00:00:00.000Z,0,
2022-10-23T00:00:00.000Z,0,2.5480608201178256E-5
2022-10-26T00:00:00.000Z,0,
2022-10-24T00:00:00.000Z,0,
2023-08-07T00:00:00.000Z,0,2.3203388627734968E-5
2023-08-10T00:00:00.000Z,0,
2023-08-13T00:00:00.000Z,0,3.4587224642261084E-5
2023-08-11T00:00:00.000Z,0,3.734654455911368E-5
2023-08-12T00:00:00.000Z,0,3.237372599566394E-5
2023-08-09T00:00:00.000Z,0,2.8562729615562905E-5
2023-08-08T00:00:00.000Z,0,3.901020172634162E-5
2023-08-14T00:00:00.000Z,0,3.3254717588230655E-5
2023-12-17T00:00:00.000Z,0,2.6881443773163483E-5
2023-12-19T00:00:00.000Z,0,1.7914938628867578E-5
2023-12-15T00:00:00.000Z,0,2.9263828158339795E-5
2023-12-16T00:00:00.000Z,0,
2023-12-14T00:00:00.000Z,0,2.7265002245258074E-5
2023-12-20T00:00:00.000Z,0,2.3100693700447057E-5
2023-12-18T00:00:00.000Z,0,2.095152861632717E-5
2023-12-13T00:00:00.000Z,0,2.53029302257346E-5
2023-07-17T00:00:00.000Z,0,2.4769938439324807E-5
2023-07-18T00:00:00.000Z,0,4.861462336217907E-5
2023-07-21T00:00:00.000Z,0,3.68318721181519E-5
